"Scenario","Attribute","Commodity","Process","Period","Value","Sector","Subsector","Technology","Fuel","Enduse","Unit","Parameters","FuelGroup","FuelSourceProcess","CommoditySet","ProcessSet","Technology_Group"
"Kea","VAR_Cap","-","T_C_CBEVELC","2025","17.942807","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVELC","2030","85.087532","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVELC","2035","238.191527","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVELC","2040","426.053128","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVELC","2045","610.025090","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVELC","2050","759.512604","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVELC","2055","876.386048","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVELC","2060","953.730617","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVELC","2030","22.289913","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVELC","2035","117.842585","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVELC","2040","356.987457","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVELC","2045","597.021112","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVELC","2050","872.775429","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVELC","2055","1143.502241","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVELC","2060","1313.848460","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVNEW15","2018","0.781320","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVNEW15","2025","0.578756","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVNEW15","2030","0.434067","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVNEW15","2035","0.289378","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Kea","VAR_Cap","-","T_C_CBEVNEW15","2040","0.144689","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVNEW15","2018","0.781320","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVNEW15","2025","0.578756","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVNEW15","2030","0.434067","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
"Tui","VAR_Cap","-","T_C_CBEVNEW15","2035","0.289378","Transport","Road Transport","Battery Electric Vehicle","Electricity","Van/Ute","000 Vehicles","Number of Vehicles","Electricity","","","","Mobile Motive Power"
