"Scenario","Attribute","Commodity","Process","Period","Value"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2025","0.051191"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2030","0.089684"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2035","0.128829"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2040","0.147202"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2045","0.134567"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2050","0.123015"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2055","0.112456"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD-ELC","2060","0.102802"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD_ELC00","2018","0.059820"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD_ELC00","2025","0.038883"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD_ELC00","2030","0.023928"
"Kea","VAR_Cap","-","ADCF-IRG-IrgVSD_ELC00","2035","0.008973"
"Kea","VAR_Cap","-","ADCF-IRG-Irg_ELC00","2018","0.151124"
"Kea","VAR_Cap","-","ADCF-IRG-Irg_ELC00","2025","0.098230"
"Kea","VAR_Cap","-","ADCF-IRG-Irg_ELC00","2030","0.060449"
"Kea","VAR_Cap","-","ADCF-IRG-Irg_ELC00","2035","0.022669"
"Kea","VAR_Cap","-","ADCF-LIG--ELC","2025","0.001598"
"Kea","VAR_Cap","-","ADCF-LIG--ELC","2030","0.001598"
"Kea","VAR_Cap","-","ADCF-LIG--ELC","2035","0.001450"
"Kea","VAR_Cap","-","ADCF-LIG--ELC","2040","0.001395"
"Kea","VAR_Cap","-","ADCF-LIG--ELC","2045","0.001395"
"Kea","VAR_Cap","-","ADCF-LIG--ELC","2050","0.001289"
"Kea","VAR_Cap","-","ADCF-LIG--ELC","2055","0.001240"
"Kea","VAR_Cap","-","ADCF-LIG--ELC","2060","0.001192"
"Kea","VAR_Cap","-","ADCF-LIG-LT_ELC00","2018","0.001657"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike--ELC","2025","0.168948"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike--ELC","2030","0.236606"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike--ELC","2035","0.222606"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike--ELC","2040","0.208715"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike--ELC","2045","0.195691"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike--ELC","2050","0.183479"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike--ELC","2055","0.172030"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike--ELC","2060","0.161295"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike-_PET00","2018","0.272255"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-Bike-_PET00","2025","0.081676"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-MTr--DSL","2025","1.417237"
"Kea","VAR_Cap","-","ADCF-MoTP-Mob-MTr--DSL","2030","2.460757"
