"Scenario","Sector","Subsector","Technology","Enduse","Unit","Parameters","Fuel","Period","FuelGroup","Technology_Group","Value"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2018","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2025","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2030","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2035","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2040","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2045","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2050","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2055","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Electricity","2060","Electricity","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Petrol","2018","Fossil Fuels","Mobile Motive Power","0.044609"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Petrol","2025","Fossil Fuels","Mobile Motive Power","0.013595"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Petrol","2030","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Petrol","2035","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Petrol","2040","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Petrol","2045","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Petrol","2050","Fossil Fuels","Mobile Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Farm Bike","Off-road Motorbike Use","Mt CO<sub>2</sub>/yr","Emissions","Petrol","2055","Fossil Fuels","Mobile Motive Power","0.000000"
